timestamp,event_slug,direction,btc_price,target_price,distance,time_left_seconds,contract_price,real_prob,implied_prob,edge,ev_per_dollar,sigma_move,volatility,payout_multiplier,should_bet,bet_placed,stake_usd,mode,outcome,pnl_usd
2026-04-02T19:34:47.759538+00:00,btc-updown-5m-1775158200,up,66946.64,67035.36,88.72,12.539916,0.005,0.056316,0.005,0.051316,0.0513,2.027,0.00018465,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:39:33.543698+00:00,btc-updown-5m-1775158500,down,66956.68,66950.44,6.24,27.06901,0.38,0.453761,0.38,0.073761,0.0738,0.124,0.00014481,2.63,True,True,5.0,simulation,pending,0
2026-04-02T19:39:42.853951+00:00,btc-updown-5m-1775158500,down,66963.99,66950.44,13.55,17.468766,0.225,0.375299,0.225,0.150299,0.1503,0.341,0.00014218,4.44,True,True,5.0,simulation,pending,0
2026-04-02T19:39:52.166462+00:00,btc-updown-5m-1775158500,down,66966.49,66950.44,16.05,8.157114,0.065,0.293483,0.065,0.228483,0.2285,0.59,0.00014225,15.38,True,True,5.0,simulation,pending,0
2026-04-02T19:44:39.116329+00:00,btc-updown-5m-1775158800,down,66984.12,66966.5,17.62,21.168816,0.135,0.411295,0.135,0.276295,0.2763,0.239,0.00023885,7.41,True,True,5.0,simulation,pending,0
2026-04-02T19:44:48.450966+00:00,btc-updown-5m-1775158800,down,66978.29,66966.5,11.79,11.875135,0.275,0.420696,0.275,0.145696,0.1457,0.213,0.00023928,3.64,True,True,5.0,simulation,pending,0
2026-04-02T19:49:35.171895+00:00,btc-updown-5m-1775159100,up,66939.61,66973.21,33.6,25.154621,0.055,0.251219,0.055,0.196219,0.1962,0.736,0.00013594,18.18,True,True,5.0,simulation,pending,0
2026-04-02T19:49:44.509378+00:00,btc-updown-5m-1775159100,up,66939.6,66973.21,33.61,15.813255,0.02,0.202053,0.02,0.182053,0.1821,0.932,0.00013548,50.0,True,True,5.0,simulation,pending,0
2026-04-02T19:49:53.772095+00:00,btc-updown-5m-1775159100,up,66939.6,66973.21,33.61,6.547544,0.005,0.110545,0.005,0.105545,0.1055,1.448,0.00013548,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:50:04.433545+00:00,btc-updown-5m-1775159400,down,66969.04,66939.61,29.43,295.984121,0.34,0.437898,0.34,0.097898,0.0979,0.167,0.00015336,2.94,True,True,5.0,simulation,pending,0
2026-04-02T19:54:32.082707+00:00,btc-updown-5m-1775159400,down,67030.6,66939.61,90.99,28.197569,0.005,0.106213,0.005,0.101213,0.1012,1.482,0.00017247,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:54:41.292140+00:00,btc-updown-5m-1775159400,down,67026.19,66939.61,86.58,19.00828,0.005,0.081089,0.005,0.076089,0.0761,1.711,0.00017312,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:54:50.545487+00:00,btc-updown-5m-1775159400,down,67013.92,66939.61,74.31,9.756032,0.005,0.057239,0.005,0.052239,0.0522,2.012,0.00017641,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:55:09.242834+00:00,btc-updown-5m-1775159700,up,67007.69,67019.46,11.77,291.17388,0.435,0.477072,0.435,0.042072,0.0421,0.061,0.00016823,2.3,True,True,5.0,simulation,pending,0
2026-04-02T19:59:37.405691+00:00,btc-updown-5m-1775159700,up,66968.53,67019.46,50.93,22.933624,0.025,0.204869,0.025,0.179869,0.1799,0.92,0.00017266,40.0,True,True,5.0,simulation,pending,0
2026-04-02T19:59:46.667274+00:00,btc-updown-5m-1775159700,up,66973.69,67019.46,45.77,13.639183,0.005,0.170419,0.005,0.165419,0.1654,1.08,0.00017131,200.0,True,True,5.0,simulation,pending,0
2026-04-02T20:04:43.056811+00:00,btc-updown-5m-1775160000,up,66852.47,66976.0,123.53,17.245737,0.0005,0.096611,0.0005,0.096111,0.0961,1.562,0.00028478,2000.0,True,True,5.0,simulation,pending,0
2026-04-02T20:05:02.922511+00:00,btc-updown-5m-1775160300,down,66849.68,66849.68,0.0,297.501692,0.475,0.5,0.475,0.025,0.025,0.0,0.00017809,2.11,True,True,5.0,simulation,pending,0
2026-04-02T20:10:05.127182+00:00,btc-updown-5m-1775160600,up,66903.62,66875.47,-28.15,295.266036,0.555,0.659648,0.555,0.104648,0.1046,-0.443,5.528e-05,1.8,True,True,5.0,simulation,pending,0
2026-04-02T20:15:02.928354+00:00,btc-updown-5m-1775160900,down,66894.09,66894.09,0.0,297.612055,0.475,0.5,0.475,0.025,0.025,0.0,3.596e-05,2.11,True,True,5.0,simulation,pending,0
2026-04-02T20:20:07.049328+00:00,btc-updown-5m-1775161200,up,66988.53,66993.34,4.81,293.355916,0.425,0.466977,0.425,0.041977,0.042,0.088,4.753e-05,2.35,True,True,5.0,simulation,pending,0
2026-04-02T20:25:25.891511+00:00,btc-updown-5m-1775161500,up,66912.9,66918.01,5.11,274.563798,0.435,0.456585,0.435,0.021585,0.0216,0.116,3.97e-05,2.3,True,True,5.0,simulation,pending,0
